Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	WM_LossMean	WM_LossStd	StopIter	Time
36	281.53317	85.21386	542.9824	106.09012	185.0	96.237404	35.428543	120.70425	-16.872162	148000	2.2649764e-09	392.03473	-0.048024666	-149.1938	0.8355365	0.015042931	0.2725	1.9266158688068389	0.1889383159574879	59.0	381.4442923069
37	317.05896	72.50738	540.7951	240.28574	204.52632	94.34269	32.81423	119.09044	-16.525652	152000	3.4570693e-09	340.5883	-0.010023629	-148.83617	0.8292278	0.015964916	0.2095	1.857176822423935	0.21385000031773468	7.0	391.4106788635254
38	319.21222	71.07442	506.31702	237.78574	193.55	102.07419	27.358828	120.11612	13.953434	156000	0.0	117.03736	-0.012049591	-66.00397	0.82804483	0.015110824	0.23	1.8775725412368773	0.21596222337471732	5.0	401.79444694519043
39	297.53943	37.96586	375.41882	230.31615	172.47826	103.442345	29.494078	121.31465	19.479914	160000	5.9604646e-09	57.54867	-0.05099561	-6.9380875	0.8273828	0.015056499	0.2615	1.8446283853054046	0.2055027943814572	76.0	412.75512409210205
40	296.36087	44.149982	436.94604	249.03014	172.86957	104.781006	29.962557	122.327385	19.245842	164000	6.6757204e-09	30.113695	-0.04829435	-4.8275127	0.8259162	0.015034485	0.22675	1.7823037934303283	0.23445476320083475	53.0	423.2127697467804
41	302.82657	60.495674	527.7983	226.77638	175.81818	104.14808	29.52447	122.29176	18.913158	168000	-5.722046e-09	44.743557	-0.009654847	-8.825165	0.8201394	0.015537078	0.20025	1.7578919744491577	0.1800123935330663	5.0	433.3339295387268
42	289.73996	40.321026	431.14172	233.33757	166.5	104.08165	29.920723	123.04452	18.597176	172000	-9.775162e-09	43.651077	-0.04288457	-4.5223465	0.8186146	0.0150646055	0.2115	1.6712641882896424	0.20245050564866882	36.0	443.6912155151367
43	296.5038	64.92246	574.54047	227.29561	170.86957	103.671974	29.693794	123.06447	18.19188	176000	-2.4437905e-09	36.65541	-0.010218627	-5.1730824	0.81801236	0.015172928	0.20275	1.6103294587135315	0.1683739352854164	6.0	453.88392972946167
44	298.48026	51.28243	442.97928	205.09122	171.91304	104.97753	29.687338	123.70512	17.933308	180000	8.106232e-09	45.377743	-0.011387437	-3.0180588	0.81793964	0.01712014	0.23825	1.5602638137340545	0.20297572162968747	6.0	464.3242156505585
45	299.30255	42.85819	459.07492	248.42986	172.69565	104.80504	30.15527	124.209984	17.582418	184000	-1.9073487e-09	26.970304	-0.04799543	-3.1162224	0.8174211	0.015210365	0.2285	1.5281325113773345	0.1734332174868099	51.0	474.66813015937805
