Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	WM_LossMean	WM_LossStd	StopIter	Time
54	659.2017	92.316154	872.6477	465.09314	209.73685	200.77066	60.499065	238.54008	2.1011682	220000	-2.1457671e-09	409.11954	-0.023829114	-111.16196	0.74797785	0.011669848	0.155	0.04328855795785785	0.015703800022300117	79.0	643.209710597992
55	684.3787	51.96582	845.85486	617.0025	213.27777	202.94206	62.97461	242.02179	-4.999799	224000	1.7881393e-09	319.28812	-0.023219228	-107.850006	0.73728156	0.007423768	0.1365	0.04304883761331439	0.018478617700845516	79.0	653.687296628952
56	679.43164	73.0879	925.8089	611.2361	212.5	208.74872	63.782837	246.10214	1.840548	228000	1.7285346e-09	269.62775	-0.021409202	-94.49097	0.7347465	0.009028737	0.12575	0.03937966465950012	0.015960432836003523	79.0	664.2210354804993
57	652.5467	90.97859	752.4775	315.57526	203.73685	208.24738	65.18586	249.2519	1.4429762	232000	-2.2649764e-09	716.65063	-0.014637654	-67.93536	0.7142214	0.004412435	0.11675	0.03794094562530517	0.01266001838531532	79.0	674.6544981002808
58	661.644	97.17667	847.10626	349.45325	207.21053	209.81013	63.93031	250.74503	1.5302436	236000	7.629395e-09	622.5835	-0.018309494	-173.72546	0.7148671	0.012602204	0.139	0.03566085417754948	0.015587404605752784	79.0	684.9792532920837
59	680.27997	92.55216	983.9627	511.33005	212.0	206.32953	65.98	252.82587	-22.938416	240000	-2.861023e-09	267.77264	-0.022680668	-104.821686	0.7169023	0.013479542	0.1545	0.038480992773547766	0.015945336422325648	79.0	695.3122322559357
60	668.3251	58.506695	809.5322	552.76227	207.33333	209.63052	67.965065	255.40904	-5.033064	244000	-2.9802323e-09	181.02824	-0.021315204	-43.867386	0.6960472	0.005654973	0.11825	0.03593303913250565	0.01315464003177786	79.0	705.6161036491394
61	731.2385	78.08762	961.1943	628.33984	226.70589	215.85344	65.75984	257.80777	0.99542904	248000	-1.9073487e-09	199.5072	-0.0037105693	-60.806503	0.6830437	0.015416857	0.18025	0.03550292933359742	0.014079300707724226	4.0	715.4082007408142
62	686.74146	78.73745	881.5533	499.74857	213.5	214.63406	68.551926	261.00375	0.12266445	252000	-3.3378602e-09	134.38872	-0.0044768252	-35.4479	0.68202794	0.016181087	0.165	0.031242662146687507	0.009050829389229992	3.0	725.4506764411926
63	767.9308	153.9498	1177.459	583.2618	238.5	222.11316	65.39748	262.55713	1.5496562	256000	-7.629395e-09	985.33246	-0.004528712	-42.161804	0.68082887	0.016910413	0.1995	0.035730785094201564	0.011763392367445629	4.0	735.4155049324036
64	777.06433	126.53763	997.7977	567.2167	237.0	223.93814	66.259445	264.63406	4.880103	260000	-8.940697e-09	902.19086	-0.004904246	-103.992615	0.68047166	0.016264101	0.2315	0.03684462665580213	0.013661307790295648	4.0	745.4207587242126
65	861.596	262.24063	1203.8846	108.34323	262.92856	231.55424	63.38781	268.1865	-0.14427328	264000	7.450581e-09	1212.6971	-0.018768614	-441.89966	0.67928904	0.011833766	0.11725	0.038026274424046276	0.01282698466859468	79.0	755.8725745677948
66	1028.8365	233.05447	1553.7269	696.24725	311.75	239.13844	65.03702	275.12088	1.0711799	268000	2.503395e-09	568.26544	-0.02358085	-236.6431	0.6820599	0.014427189	0.14325	0.03826394598931074	0.014693094319566904	79.0	766.2767205238342
67	999.93915	208.0583	1458.6694	675.9423	301.53845	243.0736	66.97672	282.59793	3.955165	272000	3.4570693e-09	310.49905	-0.020379737	-103.07234	0.664731	0.0101590175	0.11275	0.044061571918427946	0.01697778116801243	79.0	776.6939332485199
68	906.2095	120.39157	1096.4836	710.1291	273.57144	241.73212	70.31168	287.72543	-0.30247498	276000	-4.768372e-10	142.47934	-0.024183944	-43.887238	0.6641472	0.013496051	0.1665	0.038652848862111566	0.014491622874170992	79.0	787.0512399673462
69	877.9815	92.27235	1034.5339	678.82043	264.66666	239.20032	72.74582	290.27966	-3.8722615	280000	2.026558e-09	113.56979	-0.022715582	-25.233429	0.6382943	0.008206353	0.131	0.038369699697941545	0.013440580320999257	79.0	797.3988473415375
70	886.30096	105.50587	1195.8302	746.9145	266.6	238.63089	72.994896	291.9204	3.7178621	284000	-6.6757204e-09	93.10953	-0.021466713	-24.086388	0.6391225	0.009309013	0.14825	0.0372048456594348	0.012594695485268707	79.0	807.8344330787659
71	899.3309	148.20653	1311.3827	696.27527	269.7857	242.93178	72.203865	293.55945	-0.27825117	288000	-5.9604643e-10	102.085434	-0.0252026	-19.820816	0.62927806	0.011007529	0.15525	0.036212191078811885	0.013088356811589442	79.0	818.1310625076294
72	881.202	71.77804	990.2613	713.228	262.2857	242.28142	72.43642	295.50403	-5.4925323	292000	-1.2159347e-08	96.722824	-0.022426305	-24.670486	0.6173938	0.011208895	0.1365	0.03514473301358521	0.014285745012931438	79.0	828.516811132431
73	1046.7742	121.197876	1254.1443	882.2729	314.66666	252.99017	70.87275	297.53864	1.766634	296000	9.775162e-09	140.92442	-0.007535408	-31.477058	0.6148691	0.016066521	0.19175	0.03370589785277844	0.014172433395671393	8.0	838.5211019515991
74	1238.7202	473.62656	1800.7975	287.3324	381.8	267.90015	61.445988	300.08432	-2.2859082	300000	1.4901161e-08	2583.5708	-0.021068148	-366.38428	0.6142594	0.0059287	0.1955	0.033285603998228906	0.011360318395416649	79.0	848.6951534748077
75	1157.9103	269.57684	1473.7472	698.634	359.27274	259.0287	62.747494	301.87683	4.356946	304000	-4.053116e-09	2138.3596	-0.004709709	-180.30615	0.59252733	0.015268537	0.17725	0.03537471152842045	0.011048176297921115	3.0	858.6307504177094
76	1323.337	270.12518	1774.1262	923.53705	407.55554	258.54626	60.302185	300.6673	-5.637988	308000	-1.5497208e-09	526.689	-0.020852553	-312.2162	0.5915793	0.015028188	0.13325	0.03549736579880118	0.010759596214542744	66.0	869.0785365104675
77	1171.7596	166.1424	1547.1415	939.4817	358.27274	259.97183	68.672424	304.7247	-2.3790517	312000	-8.34465e-09	152.13823	-0.023641195	-41.534073	0.6023626	0.008195723	0.151	0.03473954130895436	0.010796813799401072	79.0	879.3717663288116
78	1367.5009	272.61334	1866.0253	1019.503	415.66666	264.92462	66.52852	306.28864	-0.14429808	316000	3.8146974e-09	213.41782	-0.016626922	-72.32234	0.58804166	0.0150339715	0.11525	0.03448791994713247	0.011503572769370475	32.0	889.5563941001892
79	1184.5507	129.15761	1347.8713	850.2189	360.18182	260.96628	70.91798	309.84982	4.2266693	320000	3.8146974e-09	93.12564	-0.02409751	-29.94558	0.5787067	0.010198389	0.16075	0.032987119257450105	0.009715862692812494	79.0	899.6740782260895
80	1349.3903	191.69887	1637.8745	1021.28394	407.55554	268.43143	67.54932	310.99966	-8.208787	324000	4.768372e-10	126.103455	-0.022193326	-37.12298	0.5638259	0.01464697	0.1445	0.03079237889498472	0.010932813763239294	79.0	910.3220193386078
81	1381.2845	348.92807	1857.5515	703.6358	420.22223	278.94913	62.953762	313.49796	4.3347025	328000	1.3589859e-08	2333.5833	-0.005617261	-241.87305	0.56126755	0.017896494	0.21225	0.0327843845449388	0.010940609858735094	3.0	920.2935099601746
82	1160.7632	174.17776	1485.8333	913.79395	349.54544	260.62064	68.85761	311.50204	3.921341	332000	-4.708767e-09	204.74178	-0.025724385	-128.9026	0.5611241	0.014014576	0.1565	0.03153880367055535	0.00969537220228725	79.0	930.3771362304688
83	1017.6135	143.24663	1331.1532	729.1788	306.3846	252.59686	76.643776	313.52524	-1.5066662	336000	1.502037e-08	70.50914	-0.0056636278	-18.944351	0.56018096	0.017305052	0.166	0.030165596082806587	0.011531051921369752	3.0	940.0457472801208
84	1265.3534	228.26363	1584.8357	971.5346	372.2	265.1115	71.7557	313.79138	-0.09793472	340000	1.3351441e-08	201.69293	-0.022204401	-105.82173	0.5593034	0.015172447	0.1395	0.02919241340830922	0.009983745188966022	46.0	950.0918340682983
85	1072.6582	292.39764	1522.7244	251.83646	319.0	270.97824	70.484245	317.761	-0.61430454	344000	-8.404255e-09	1332.5079	-0.0064246445	-420.3142	0.54926145	0.019605331	0.28525	0.02842227391898632	0.008721018921209397	3.0	959.549889087677
86	1012.5688	381.55832	1747.8726	425.48767	316.08334	282.9294	56.25876	319.1219	-4.918435	348000	5.4836273e-09	5967.6157	-0.004002946	-1582.395	0.54889745	0.019369034	0.25475	0.029821267081424595	0.010146850749933567	3.0	969.1790838241577
87	1492.6808	368.79373	2256.6592	950.24524	437.1111	242.13834	58.8525	309.56754	-1.3902712	352000	-5.3644182e-09	2332.1008	-0.026842041	-2172.6187	0.54878896	0.010976105	0.14475	0.028817061455920338	0.009943755767345205	79.0	979.216061592102
88	1362.2449	215.13406	1668.1161	992.5218	392.6	277.08362	70.45267	322.70935	5.224711	356000	2.7418137e-09	242.48721	-0.025080362	-83.20581	0.54686326	0.010799668	0.1425	0.028704390171915294	0.009118000303264357	79.0	989.2294280529022
89	1467.8469	586.2379	2756.0828	1028.981	428.22223	286.02524	68.17797	325.96857	14.586517	360000	-5.6028364e-09	146.95473	-0.027590582	-57.928886	0.5361012	0.013355905	0.14525	0.03018619422800839	0.009317259361187383	79.0	999.4615988731384
90	1326.5774	477.9698	2689.2383	902.09753	395.3	285.90054	70.015625	327.40976	-0.6169491	364000	-4.053116e-09	2814.2854	-0.005384419	-472.84888	0.5400302	0.023855561	0.288	0.02890913630835712	0.00956370063346748	3.0	1009.2577292919159
91	1797.4084	421.542	2419.7646	1138.5452	532.4286	278.9284	60.03737	320.9875	3.921361	368000	5.9604646e-09	416.522	-0.022846377	-269.18137	0.53962016	0.010358409	0.1505	0.03146433505229652	0.008434551125422376	79.0	1019.7250757217407
92	1838.7307	712.6191	3367.9429	1176.1383	539.8571	290.85226	63.63193	324.41577	7.1020646	372000	9.536744e-10	192.84962	-0.026702264	-55.03856	0.5356167	0.01257011	0.163	0.02998873410746455	0.008448674500142719	79.0	1029.714524269104
93	1176.7179	702.24817	2725.3857	89.012886	348.9091	280.95856	70.739975	327.4589	-4.1186805	376000	5.2452087e-09	1613.4532	-0.013035745	-346.06665	0.5318031	0.008426744	0.15775	0.03022543767467141	0.008618496142824037	79.0	1039.7266051769257
94	1481.5787	457.9985	2661.9004	1122.6058	430.44446	280.22595	72.898575	328.37885	4.104864	380000	4.3213366e-09	346.92758	-0.019871436	-259.42862	0.5398452	0.011827546	0.15325	0.027935963990166783	0.009135404021569869	79.0	1050.0060021877289
95	1137.1636	377.57858	1581.4266	89.08937	330.41666	272.5145	77.57716	330.74243	-0.14170694	384000	-5.4836273e-09	826.0697	-0.01227849	-84.453186	0.5222881	0.007876263	0.11775	0.026384874302893876	0.009410433104216371	79.0	1060.0947902202606
96	1640.5598	402.308	2473.7937	1157.9617	475.875	287.3187	70.42315	331.4376	-4.5513654	388000	2.2411346e-08	223.46448	-0.020288583	-97.688324	0.5224854	0.015142075	0.12975	0.026441406728699803	0.010493667785541849	63.0	1070.0953845977783
97	1182.5278	119.890045	1360.0342	960.1368	341.63635	274.40845	78.93084	335.0843	2.3289084	392000	-8.225441e-09	87.149124	-0.028794995	-32.108074	0.5316103	0.0132971	0.171	0.02515153550542891	0.007569816233266739	79.0	1080.079880475998
98	1393.5581	233.97849	1870.1046	1162.0718	398.22223	283.45953	73.72504	335.2973	5.1354775	396000	1.7940998e-08	134.7628	-0.025024852	-79.117775	0.52374184	0.011227841	0.15325	0.02375449934974313	0.008223692633761197	79.0	1090.011779308319
99	1312.6821	325.6199	1874.8539	981.4609	380.4	284.77426	75.46318	337.24728	5.6609025	400000	-1.0251999e-08	110.70795	-0.024986908	-43.56121	0.5097789	0.0141279055	0.15	0.0253134770039469	0.008634523750605649	79.0	1100.2013278007507
100	1946.8184	719.7617	3148.0916	995.32825	567.0	300.94876	64.493904	337.06003	-4.601657	404000	1.8537044e-08	321.54218	-0.009134755	-127.74364	0.49882978	0.015147342	0.15025	0.02374620219692588	0.007865867254697569	12.0	1110.076111316681
101	1021.3669	434.3494	1529.8881	89.5321	292.92307	267.19614	80.13054	338.11008	-2.2165427	408000	-8.8214875e-09	1906.4928	-0.007082939	-547.4802	0.49700415	0.027360521	0.34	0.0243874591588974	0.00810696713991952	3.0	1119.9943051338196
102	2306.891	838.648	3290.8862	955.8254	732.2	323.53107	32.243538	338.13522	11.496369	412000	4.6491624e-09	3347.2373	-0.014768832	-1347.6122	0.49600083	0.008450169	0.13625	0.025657574823126198	0.007492275681942253	79.0	1131.3689608573914
103	2083.773	860.1873	3326.432	791.50507	639.8	305.7222	43.29705	336.0459	7.7182283	416000	-1.013279e-08	2591.9048	-0.0059868717	-225.08765	0.5056424	0.017509406	0.276	0.024198986915871502	0.0073151991424164255	4.0	1141.07585978508
104	2843.603	475.0365	3171.4626	2023.4392	896.5	304.5192	32.3307	334.8925	4.394112	420000	-5.9604646e-09	352.79605	-0.02481678	-236.41725	0.5054124	0.014731875	0.159	0.0242831093352288	0.007320574175348183	79.0	1151.3775248527527
105	2430.395	660.40485	3209.208	1582.1774	734.6	309.1668	46.728596	335.98288	1.8916965	424000	-3.0994416e-09	157.68092	-0.0016553084	-72.63107	0.5024253	0.016419461	0.22875	0.026104916064068676	0.007722587961666821	2.0	1160.983878850937
106	952.86456	183.14748	1279.746	714.05365	279.3846	268.8889	80.53826	338.05896	2.1558805	428000	2.503395e-08	340.20218	-0.023002028	-226.4101	0.50208503	0.013825342	0.14975	0.024499313617125155	0.007288543375029245	79.0	1171.4315819740295
